순위,관광지명,주소,분류,현지인 검색 수
1,동대문종합시장,서울 종로구 종로 266-0,시장,14317
2,경복궁,서울 종로구 사직로 161-0,역사유적지,7042
3,조계사,서울 종로구 우정국로 55-0,종교성지,6294
4,포시즌스호텔서울,서울 종로구 새문안로 97-0,호텔,6241
5,국립현대미술관서울관,서울 종로구 삼청로 30-0,전시시설,5825
6,서머셋팰리스,서울 종로구 율곡로2길 7-0,호텔,5573
7,광장시장,서울 종로구 창경궁로 88-0,시장,5248
8,팔각정북악스카이,서울 종로구 북악산로 267-0,랜드마크관광,4300
9,JW메리어트동대문스퀘어서울,서울 종로구 청계천로 279-0,호텔,3665
10,청와대사랑채,서울 종로구 효자로13길 45-0,전시시설,3575
11,서울역사박물관,서울 종로구 새문안로 55-0,전시시설,3431
12,북악스카이웨이,서울 종로구,데이트코스,3347
13,화정박물관,서울 종로구 평창8길 3-0,전시시설,3272
14,광화문,서울 종로구 사직로 161-0,역사유적지,3085
15,오라카이인사동스위츠,서울 종로구 인사동4길 18-0,호텔,3021
16,북악팔각정,서울 종로구 북악산로 267-0,역사유적지,2801
17,대학로,서울 종로구,테마공원,2687
18,IBC호텔,서울 종로구 난계로 241-0,호텔,2667
19,두산아트센터,서울 종로구 종로33길 15-0,공연시설,2610
20,신라스테이광화문,서울 종로구 삼봉로 71-0,호텔,2336
21,동화면세점본점,서울 종로구 세종대로 149-0,면세점,2007
22,가나아트센터,서울 종로구 평창30길 28-0,전시시설,1992
23,CGV피카디리1958,서울 종로구 돈화문로5가길 1-0,공연시설,1899
24,오라카이대학로호텔,서울 종로구 율곡로 180-0,호텔,1851
25,통인시장,서울 종로구 자하문로15길 18-0,시장,1648
26,낙산공원,서울 종로구 낙산길 41-0,도시공원,1644
27,창경궁,서울 종로구 창경궁로 185-0,역사유적지,1608
28,서울옥션하우스,서울 종로구 평창30길 24-0,전시시설,1583
29,흥인지문,서울 종로구 종로 288-0,역사유적지,1486
30,창덕궁,서울 종로구 율곡로 99-0,역사유적지,1478
31,이화장,서울 종로구 이화장1길 32-0,역사유적지,1416
32,안녕인사동,서울 종로구 인사동길 49-0,쇼핑몰,1307
33,충신시장,서울 종로구 율곡로22길 7-0,시장,1266
34,국립민속박물관,서울 종로구 삼청로 37-0,전시시설,1237
35,글로리아타운,서울 종로구 평창문화로 75-0,쇼핑몰,1230
36,서울미술관,서울 종로구 자하문로 231-0,전시시설,1226
37,센터마크호텔,서울 종로구 인사동5길 38-0,호텔,1206
38,티오엠,서울 종로구 대학로8가길 85-0,공연시설,1161
39,나인트리프리미어호텔인사동,서울 종로구 인사동길 49-0,호텔,1159
40,총회창립100주년기념관,서울 종로구 대학로3길 29-0,전시시설,1132
41,국제갤러리,서울 종로구 삼청로 54-0,전시시설,1118
42,동대문종합시장D동,서울 종로구 종로 266-0,시장,1102
43,환기미술관,서울 종로구 자하문로40길 63-0,전시시설,1062
44,동대문종합시장A동,서울 종로구 종로 266-0,시장,1058
45,안국선원,서울 종로구 북촌로 70-0,종교성지,999
46,사직공원,서울 종로구 사직로 89-0,도시공원,997
47,국립고궁박물관,서울 종로구 효자로 12-0,전시시설,948
48,마로니에공원,서울 종로구 대학로 104-0,도시공원,931
49,수성동계곡,서울 종로구,자연경관(산),918
50,CGV대학로,서울 종로구 대명길 28-0,공연시설,914
51,무궁화동산,서울 종로구,도시공원,892
52,윤동주문학관,서울 종로구 창의문로 119-0,전시시설,870
53,박노수미술관,서울 종로구 옥인1길 34-0,전시시설,864
54,서울극장폐점,서울 종로구 돈화문로 13-0,공연시설,816
55,호텔베뉴지,서울 종로구 청계천로 117-0,호텔,799
56,세검정,서울 종로구 세검정로 244-0,역사유적지,794
57,센트럴관광호텔,서울 종로구 청계천로 137-0,호텔,779
58,국립어린이과학관,서울 종로구 창경궁로 215-0,전시시설,711
59,탑골공원,서울 종로구 종로 99-0,도시공원,697
60,상명아트센터,서울 종로구 홍지문2길 20-0,공연시설,695
61,대학로예술극장,서울 종로구 대학로10길 17-0,공연시설,679
62,디세븐스위츠,서울 종로구 종로56길 20-8,호텔,677
63,삼아사운드,서울 종로구 삼일대로 457-0,기타쇼핑시설,674
64,경찰박물관,서울 종로구 송월길 162-0,전시시설,668
65,금보성아트센터,서울 종로구 평창36길 20-0,전시시설,626
66,동묘시장,서울 종로구 종로58길 12-0,시장,624
67,청와대,서울 종로구 청와대로 1-0,기타관광,597
68,동덕여자대학교공연예술센터,서울 종로구 동숭길 126-0,공연시설,546
69,아르코예술극장,서울 종로구 대학로8길 7-0,공연시설,536
70,와룡공원,서울 종로구,도시공원,535
71,청운대안내소,서울 종로구,기타관광,522
72,서울공예박물관,서울 종로구 율곡로3길 4-0,전시시설,516
73,혜화문,서울 종로구,역사유적지,489
74,칠보사,서울 종로구 삼청로9길 51-0,종교성지,479
75,원서동고희동가옥,서울 종로구 창덕궁5길 40-0,역사유적지,475
76,종로꽃시장,서울 종로구,시장,470
77,예스24스테이지,서울 종로구 대학로12길 21-0,공연시설,467
77,운현궁,서울 종로구 삼일대로 464-0,역사유적지,467
79,일석기념관,서울 종로구 동숭3길 40-0,전시시설,465
80,동대문종합시장B동,서울 종로구 종로 266-0,시장,458
81,예술가의집,서울 종로구 동숭길 3-0,기타문화관광지,442
82,북촌한옥마을,서울 종로구,역사유적지,431
83,동숭아트센터,서울 종로구 성균관로4길 19-0,공연시설,427
84,청와대앞길,서울 종로구,테마공원,422
85,우당기념관,서울 종로구 필운대로10길 17-0,전시시설,415
86,유니플렉스,서울 종로구 대학로12길 64-0,공연시설,413
87,동묘,서울 종로구 난계로27길 84-0,역사유적지,406
88,크라운호텔,서울 종로구 삼일대로30길 9-0,호텔,396
89,아마레호텔,서울 종로구 수표로22길 7-0,호텔,383
90,성곡미술관,서울 종로구 경희궁길 42-0,전시시설,371
91,갤러리현대,서울 종로구 삼청로 14-0,전시시설,370
92,대한민국역사박물관,서울 종로구 세종대로 198-0,전시시설,361
93,아벤트리종로호텔,서울 종로구 우정국로 46-0,호텔,348
94,몽호텔,서울 종로구 종로16길 28-0,모텔,343
95,호텔디엠,서울 종로구 난계로29길 73-0,호텔,338
96,보신각,서울 종로구 종로 54-0,역사유적지,325
97,PKM갤러리,서울 종로구 삼청로7길 40-0,전시시설,321
98,딜쿠샤,서울 종로구 사직로2길 17-0,역사유적지,319
99,바티카호텔,서울 종로구 청계천로 341-0,모텔,316
100,아트선재센터,서울 종로구 율곡로3길 87-0,전시시설,314
