spot,x,y
숭례문,126.9753071,37.559984
덕수궁,126.97519,37.565537
이상의집,126.970876,37.578624
통인시장,126.969972,37.580694
박노수 미술관,126.966775,37.581279
윤동주 하숙집터,126.965696,37.581418
이순신 장군동상,126.976932,37.571002
세종대왕 동상,126.976874,37.572829
고궁박물관,126.974947,37.576561
경복궁,126.976759,37.579576
창덕궁,126.976759,37.579576
북촌,126.984945,37.581479
북인사마당,126.983477,37.575471
쌈지길,126.984836,37.574165
경인미술관,126.984836,37.574165
통인가게,126.984836,37.574165
탑골공원,126.988286,37.571155
남산골 한옥마을,126.994391,37.559286